bonuses N_PL-IRREG_OLR bonus
severed V_PSP_OLR sever
sarcophagi N_PL-IRREG_OLR sarcophagus
clattered V_PAS_ODLR clatter
splittin V_PRP-NF_OLR split
nevermatchform V_V-UNDER_DLR handed
beddin V_PRP-NF_OLR bed
gritted V_PAS_ODLR grit
flattened V_PAS_ODLR flatten
clamoring V_PRP_OLR clamor
fettered V_PAS_ODLR fetter
upheld V_PST_OLR uphold
doctored V_PSP_OLR doctor
taken V_PAS-NP-P_ODLR take
burdened V_PSP_OLR burden
withheld V_PSP_OLR withhold
gunned V_PAS-PRT-T_ODLR gun
lira N_PL-IRREG-NOAFF_OLR lira
preferring V_PRP_OLR prefer
stood V_PST_OLR stand
zapping V_PRP_OLR zap
nevermatchform V_V-RE_DLR lies
benefitted V_PST_OLR benefit
sought V_PAS-P_ODLR seek
wedded V_PST_OLR wed
stoppin V_PRP-NF_OLR stop
marred V_PST_OLR mar
plugged V_PSP_OLR plug
nevermatchform J_N-PRE_ODLR side
marketed V_PST_OLR market
evenin V_PRP-NF_OLR even
foreseen V_PAS_ODLR foresee
skidded V_PST_OLR skid
slithered V_PSP_OLR slither
snapped V_PAS-PRT-T_ODLR snap
sent V_PAS_ODLR send
drawn V_PAS-PRT-T_ODLR draw
wound V_PAS-PRT-T_ODLR wind
calendared V_PAS_ODLR calendar
geese N_PL-IRREG_OLR goose
fauna N_PL-IRREG-NOAFF_OLR fauna
ticketing V_PRP_OLR ticket
thermoses N_PL-IRREG_OLR thermos
ordered V_PAS_ODLR order
sworn V_PAS-P_ODLR swear
fluttered V_PSP_OLR flutter
signalling V_PRP_OLR signal
wagging V_PRP_OLR wag
ticketin V_PRP-NF_OLR ticket
festered V_PAS_ODLR fester
riveting V_PRP_OLR rivet
heard V_PAS_ODLR hear
scrapped V_PSP_OLR scrap
nevermatchform V_V-RE_DLR searching
borderin V_PRP-NF_OLR border
burned V_PAS_ODLR burn
nevermatchform V_V-PRE_DLR sides
auditing V_PRP_OLR audit
nevermatchform V_V-CO_DLR m
glitterin V_PRP-NF_OLR glitter
signaled V_PSP_OLR signal
ridden V_PSP_OLR ride
rendering V_PRP_OLR render
omitted V_PAS_ODLR omit
biddin V_PRP-NF_OLR bid
watered V_PAS-PRT-T_ODLR water
said V_PSP_OLR say
madmen N_PL-IRREG_OLR madman
lightenin V_PRP-NF_OLR lighten
stolen V_PAS-P_ODLR steal
stripping V_PRP_OLR strip
huckstering V_PRP_OLR huckster
gettin V_PRP-NF_OLR get
straightened V_PAS_ODLR straighten
fattened V_PAS_ODLR fatten
goes V_3S-FIN_OLR go
punned V_PST_OLR pun
whimpered V_PST_OLR whimper
lightening V_PRP_OLR lighten
aldermen N_PL-IRREG_OLR alderman
scrapping V_PRP_OLR scrap
embowerin V_PRP-NF_OLR embower
qt N_PL-IRREG-NOAFF_OLR qt
nevermatchform V_V-UNDER_DLR mining
endangerin V_PRP-NF_OLR endanger
broadcasted V_PST_OLR broadcast
deterred V_PAS_ODLR deter
featherin V_PRP-NF_OLR feather
nevermatchform V_V-PRE_DLR occupied
matted V_PST_OLR mat
botherin V_PRP-NF_OLR bother
input V_PSP_OLR input
mothered V_PST_OLR mother
gardened V_PAS_ODLR garden
cloisterin V_PRP-NF_OLR cloister
given V_PAS-PRT-T_ODLR give
burdened V_PAS_ODLR burden
differed V_PST_OLR differ
nevermatchform J_N-PRE_ODLR tense
swung V_PSP_OLR swing
benefitted V_PAS_ODLR benefit
hooves N_PL-IRREG_OLR hoof
spiralin V_PRP-NF_OLR spiral
striven V_PSP_OLR strive
calendared V_PSP_OLR calendar
poisoned V_PST_OLR poison
clientele N_PL-IRREG_OLR clientele
shown V_PSP_OLR show
rivaling V_PRP_OLR rival
felt V_PAS_ODLR feel
answering V_PRP_OLR answer
labelin V_PRP-NF_OLR label
trekked V_PSP_OLR trek
nevermatchform V_V-RE_DLR ward
bettered V_PST_OLR better
skinned V_PAS_ODLR skin
treaded V_PAS_ODLR tread
overridden V_PAS_ODLR override
forsaken V_PAS_ODLR forsake
strung V_PAS-PRT-T_ODLR string
rainwear N_PL-IRREG-NOAFF_OLR rainwear
freshened V_PST_OLR freshen
wound V_PST_OLR wind
glowering V_PRP_OLR glower
sleddin V_PRP-NF_OLR sled
covering V_PRP_OLR cover
protozoa N_PL-IRREG-NOAFF_OLR protozoa
druggin V_PRP-NF_OLR drug
sneaked V_PSP_OLR sneak
cuttin V_PRP-NF_OLR cut
nevermatchform V_V-UNDER_DLR pins
splattered V_PAS_ODLR splatter
starrin V_PRP-NF_OLR star
tobogganed V_PAS_ODLR toboggan
debuggin V_PRP-NF_OLR debug
vetos V_3S-FIN_OLR veto
handicapped V_PST_OLR handicap
chamferred V_PAS_ODLR chamfer
wagered V_PAS_ODLR wager
thickened V_PAS_ODLR thicken
fileted V_PSP_OLR filet
bordered V_PSP_OLR border
feet N_PL-IRREG_OLR foot
dealt V_PAS-DAT_ODLR deal
wonderin V_PRP-NF_OLR wonder
diagnoses N_PL-IRREG_OLR diagnosis
equilibria N_PL-IRREG_OLR equilibrium
entered V_PAS-PRT-T_ODLR enter
blotted V_PST_OLR blot
livestock N_PL-IRREG-NOAFF_OLR livestock
raveled V_PAS_ODLR ravel
nevermatchform V_V-OUT_DLR fitting
punned V_PAS_ODLR pun
gigging V_PRP_OLR gig
fitted V_PAS-PRT-T_ODLR fit
acquittin V_PRP-NF_OLR acquit
lugged V_PAS_ODLR lug
hanged V_PSP_OLR hang
flopped V_PAS_ODLR flop
encountered V_PSP_OLR encounter
kj N_PL-IRREG-NOAFF_OLR kj
outfitted V_PAS_ODLR outfit
axes N_PL-IRREG_OLR axis
quieted V_PST_OLR quiet
bidded V_PST_OLR bid
krone N_PL-IRREG-NOAFF_OLR krone
nevermatchform V_V-RE_DLR places
pegged V_PST_OLR peg
koi N_PL-IRREG-NOAFF_OLR koi
backordered V_PST_OLR backorder
graffiti N_PL-IRREG-NOAFF_OLR graffiti
logged V_PST_OLR log
thought V_PST_OLR think
misled V_PSP_OLR mislead
nippin V_PRP-NF_OLR nip
wrung V_PST_OLR wring
nevermatchform V_V-RE_DLR buff
led V_PAS-PRT-T_ODLR lead
reasoned V_PSP_OLR reason
deepenin V_PRP-NF_OLR deepen
festered V_PSP_OLR fester
signalled V_PSP_OLR signal
dripping V_PRP_OLR drip
markka N_PL-IRREG-NOAFF_OLR markka
choppin V_PRP-NF_OLR chop
matrices N_PL-IRREG_OLR matrix
brightened V_PSP_OLR brighten
moppin V_PRP-NF_OLR mop
ridded V_PSP_OLR rid
beaten V_PSP_OLR beat
Scotsmen N_PL-IRREG_OLR Scotsman
speeded V_PAS-P_ODLR speed
imprisonin V_PRP-NF_OLR imprison
forecast V_PST_OLR forecast
nevermatchform V_V-UNDER_DLR scores
tapped V_PAS-PRT-T_ODLR tap
outfitting V_PRP_OLR outfit
particulars N_PL-IRREG-NOAFF_OLR particulars
traffickin V_PRP-NF_OLR traffic
begettin V_PRP-NF_OLR beget
weakened V_PSP_OLR weaken
combatted V_PAS_ODLR combat
parcelin V_PRP-NF_OLR parcel
cannoned V_PSP_OLR cannon
exhibited V_PSP_OLR exhibit
jetted V_PSP_OLR jet
squandered V_PAS_ODLR squander
bought V_PST_OLR buy
grinded V_PAS_ODLR grind
meant V_PSP_OLR mean
begging V_PRP_OLR beg
inferrin V_PRP-NF_OLR infer
burned V_PAS-PRT-T_ODLR burn
imbeddin V_PRP-NF_OLR imbed
blown V_PAS_ODLR blow
canceling V_PRP_OLR cancel
centerin V_PRP-NF_OLR center
grandfathering V_PRP_OLR grandfather
gaggin V_PRP-NF_OLR gag
put V_PAS_ODLR put
ragged V_PAS_ODLR rag
tightenin V_PRP-NF_OLR tighten
_k. N_PL-IRREG-NOAFF_OLR _k.
jarrin V_PRP-NF_OLR jar
nevermatchform N_N-CO_DLR l
