Error code	Response	Error class
root_frag	This is not a complete sentence.	
root_robust frag	This is not a complete sentence.	
a_det_mass_rbst	Do not use "a" with the non-countable noun $W.	D
an_det_mass_rbst	Do not use "an" with the non-countable noun $W.	D
a_det_plur_rbst	Do not use "a" with a plural noun.	R
an_det_plur_rbst	Do not use "an" with a plural noun.	R
according_to_rbst	The word $W must be followed by "to".	I
v_vp_np-bse_le_rbst	The verb $W needs a direct object followed by "to" before the next verb.	I
because_that_rbst	Do not use "that" after "because".	D
because_to_rbst	Do not use "to" after "because".	D
do_have_rbst	Use "have" instead of "do" with a past participle form of the verb.	R
does_have_rbst	Use "has" instead of "does" with a past participle form of the verb.	R
did_have_rbst	Use "had" instead of "did" with a past participle form of the verb.	R
did1_neg_1_rbst	Spell the negative contracted form with an apostrophe.	R
v_vp_prp_le_rbst	The verb after $W should be the present participle form ending in "-ing".	R
every_all_rbst	Use "all" instead of "every" with a plural noun.	R
everyday_adv_rbst	When "every day" is used as an adverb, spell it with a space between "every" and "day".	R
last_a1_rbst	Use "the" or a possessive pronoun before the adjective "last".	I
much_a1_rbst	Use "many" instead of "much" with a countable noun.	R
many_a1_rbst	Use "much" instead of "many" with a non-countable noun.	R
need_bse_v1_rbst	Add the word "to" after "need" unless the sentence is a question.	I
other_rbst	Use "another" instead of "other" with a singular countable noun.	R
people_n1_rbst	Do not add a plural "s" suffix on a noun that is already plural.	R
respectively_adv1_rbst	Add a comma to the word before "respectively".	I
v_p_le-infl_rbst	Use the past tense form of the verb $W instead of the past participle form.	R
such_a_det_rbst	Use the article "a" or "an" after the word "such" with a singular countable noun.	I
such_an_det_rbst	Use the article "a" or "an" after the word "such" with a singular countable noun.	I
their_rbst	The possessive pronoun is spelled "their", not "there".	R
this_det_rbst	Use "these" with a plural noun, not "this".	R
that_det_rbst	Use "those" with a plural noun, not "that".	R
too_deg_rbst	The degree adverb is spelled "too", not "to".	R
too_deg_nc_rbst	The degree adverb is spelled "too", not "to".	R
work_n1_rbst	The noun "work" is not usually used in the plural form.	R
v_vp_seq-bse_le_rbst	Add the infinitival marker "to" after the verb $W.	I
v_vp_ssr-nimp_le_rbst	Add the infinitival marker "to" after the verb $W.	I
v_vp_seq_le_rbst	Include a direct object noun phrase after the verb $W.	I
v_np_pp_le_rbst	Add the necessary preposition after the verb $W.	I
v_np-vp_bse_le_rbst	Add the infinitival marker "to" after the object noun phrase of $W.	I
v_pp_np_le_rbst	Remove the preposition after the verb $W.	D
v_pp_e_le_rbst	Use the correct preposition after the verb $W.	R
v_np-pp_e_le_rbst	Use the correct preposition following the object noun phrase of the verb $W.	I
v_-_psv-post_le_rbst	The intransitive verb $W cannot be used in the passive form.	R
v_-_psv-pre_le_rbst	The intransitive verb $W cannot be used in the passive form.	R
v_-_le_rbst	Add an object noun phrase after the verb $W.	I
v_cp_le_rbst	Add an object noun phrase after the verb $W.	I
v_np-vp_oeq_le_rbst	Do not use the infinitival "to" after the object noun phrase of the verb $W.	D
aj_-_i-one_le_rbst	Only use $W to modify a plural noun.	R
n_pp_c_le_rbst	Use the correct preposition after the noun $W.	R
n_pp_m_le_rbst	Use the correct preposition after the noun $W.	R
av_-_i-vp-cmp_le_rbst	Do not use "more" with a comparative adverb ending in "-er".	D
aj_-_i-cmp_le_rbst	Do not use "more" with a comparative adjective ending in "-er".	D
do1_pos_sg_rbst	The subject and the verb $W should agree in number.	R
va_doesnt_neg_pres_le_rbst	The subject and the verb $W should agree in number.	R
does1_neg_noapos_rbst	Spell the negative contracted form with an apostrophe.	R
va_dont_neg_pres_le_rbst	The subject and the verb $W should agree in number.	R
do1_neg_noapos_rbst	Spell the negative contracted form with an apostrophe.	R
does1_pos_pl_rbst	The subject and the verb $W should agree in number.	R
has_aux_rbst	The subject and the verb $W should agree in number.	R
have_fin_aux_rbst	The subject and the verb $W should agree in number.	R
v_vp_has-n_le_rbst	The subject and the verb $W should agree in number.	R
hasnt_aux_1_rbst	Spell the negative contracted form with an apostrophe.	R
v_vp_have-f-n_le_rbst	The subject and the verb $W should agree in number.	R
have_fin_aux_neg_1_rbst	Spell the negative contracted form with an apostrophe.	R
hadnt_aux_1_rbst	Spell the negative contracted form with an apostrophe.	R
v_np_are-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np_is-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np_wre-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np_was-n_le_rbst	The subject and the verb $W should agree in number.	R
be_th_cop_is_rbst	The subject and the verb $W should agree in number.	R
be_th_cop_are_rbst	The subject and the verb $W should agree in number.	R
be_th_cop_was_rbst	The subject and the verb $W should agree in number.	R
be_th_cop_were_rbst	The subject and the verb $W should agree in number.	R
v_np-xp_is-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np-xp_are-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np-xp_was-n_le_rbst	The subject and the verb $W should agree in number.	R
v_np-xp_were-n_le_rbst	The subject and the verb $W should agree in number.	R
be_c_is_rbst	The subject and the verb $W should agree in number.	R
be_c_are_rbst	The subject and the verb $W should agree in number.	R
be_c_was_rbst	The subject and the verb $W should agree in number.	R
be_c_were_rbst	The subject and the verb $W should agree in number.	R
