
New le type         Old le type
------------------- -------------------------------- 
v_-_it_le           v_atrans_le
v_vp_it_le          v_atrans_inf_le
v_cp_le             v_cp_non_trans_le
v_cp_comp_le        v_cp_only_non_trans_le
v_cp_fin-inf_le     v_cp_fin_inf_non_trans_le
v_cp_fin-inf-q_le   v_cp_ques_fin_inf_non_trans_le
v_cp_prop_le        v_cp_prop_non_trans_le
v_cp_comp-prop_le   v_cp_only_prop_non_trans_le
v_cp_like_le        v_cp_like_non_trans_le
v_np-cp_le          v_np_trans_cp_le
v_np*-cp_le         v_np*_trans_cp_le
v_np-cp_q_le        v_np_trans_cp_ques_le
v_np-cp_prop_le     v_np_trans_cp_prop_le
v_np-cp_fin-inf_le  v_np_trans_cp_fin_or_inf_le
v_cp_sbjnct_le      v_cp_subj_le
v_cp_inf-only_le    v_cp_inf_le
v_vp_seq_le         v_subj_equi_le
v_prd_seq_le        v_subj_equi_prd_le
v_prd_seq-idm_le    v_subj_equi_prd_idiom_le
v_ap_seq_le         v_subj_equi_prd_adj_le
v_pp_seq_le         v_subj_equi_prd_prep_le
v_pp_seq-e_le       v_subj_equi_empty_prep_le
v_vp_seq-prp_le     v_subj_equi_prp_le
v_vp_seq-bse_le     v_subj_equi_bse_le
v_vp_seq-go_le      v_subj_equi_bse_go_le
v_vp_seq-n3sg_le    v_subj_equi_bse_non3sg_le
v_p-vp_ssr_le       v_ssr_particle_le
v_vp_seq-and_le     v_subj_equi_and_fin_le
v_vp_seq-and-bse_le v_subj_equi_and_bse_le
v_vp_seq-but_le     v_subj_equi_but_bse_le
v_np-vp_oeq_le      v_obj_equi_le
v_np-vp_oeq-bse_le  v_obj_equi_bse_le
v_np-prd_oeq_le     v_obj_equi_prd_le
v_np-ap_oeq_le      v_obj_equi_prd_adj_le
v_np-prd_oeq-ntr_le v_obj_equi_non_trans_prd_le
v_np-vpslnp_oeq_le  v_obj_equi_vpslash_le
v_np-vp_oeq-from_le v_obj_equi_from_le
v_np-vp_aeq-ntr_le  v_anom_equi_le
v_np-vp_aeq_le      v_anom_equi_trans_le
v_np-vp_aeq-noel_le v_anom_equi_oblig_le
v_np-vp_aeq-prp_le  v_anom_equi_prp_le
v_p-vp_seq_le       v_particle_inf_le
v_p-vp_prp_le       v_particle_prp_le
v_p-cp_le           v_particle_cp_le
v_p-vp_oeq_le       v_particle_oeq_le
v_pp-vp_oeq_le      v_oeq_pp_inf_le
v_it-pp-vp_oeq_le   v_expl_pp_inf_oeq_le
v_pp-vp_seq_le      v_pp_inf_seq_le
v_it-pp-vp_seq_le   v_expl_pp_inf_seq_le
v_np-cp_it-s_le     v_expl_it_subj_np_cp_le
v_np-np-cp_it-s_le  v_expl_it_subj_np_np_cp_inf_le
v_np-np-vp_it-s_le  v_expl_it_subj_np_np_vp_inf_le
v_np-np*-vp_it-s_le v_expl_it_subj_np_np*_vp_inf_le
v_pp*-cp_it-s_le    v_expl_it_subj_pp_cp_le
v_pp-cp_it-s_le     v_expl_it_subj_pp_obl_cp_le
v_pp*-cp_like_le    v_expl_it_subj_like_le
v_pp*-cp_unsp_le    v_expl_it_subj_pp_cp_unsp_le
v_p-cp_it-s_le      v_expl_it_subj_prtcl_cp_le
v_cp_it-s_le        v_expl_it_subj_cp_le
v_vp_it-s_le        v_expl_it_subj_vp_le
v_np-np-cp_le       v_np_np_cp_le
v_pp*-cp_le         v_pp_cp_le
v_pp-cp_le          v_pp_oblig_cp_le
v_pp-cp_fin_le      v_pp_cp_fin_le
v_pp-it-cp_le       v_pp_expl_cp_le
v_np-vp_sor-ntr_le  v_sor_non_trans_le
v_np-vp_sor_le      v_sor_le
v_np-vp_bse_le      v_sorb_le
v_cp_inf-only_le    v_sor_pp_inf_le
v_np-prd_sor_le     v_sor_prd_le
v_np-np_le          v_ditrans_le
v_np*-np*_le        v_ditrans*_le
v_np-np_only_le     v_ditrans_only_le
v_np*-np*_only_le   v_ditrans*_only_le
v_np-np_idm_le      v_ditrans_only_idiom_le
v_pp*-pp*_le        v_double_pp*_le
v_pp-pp_le          v_double_pp_le
